"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","entendre_pct","parlar_pct","llegir_pct","escriure_pct","entendre_com","parlar_com","llegir_com","escriure_com","entendre_at","parlar_at","llegir_at","escriure_at"
"165",2011,"080425","Cànoves i Samalús","41","Vallès Oriental","Metropolità","AT01",2740,2058,2225,1509,2798,98,74,80,54,97,81,84,62,97,79,82,61
"166",2001,"080425","Cànoves i Samalús","41","Vallès Oriental","Metropolità","AT01",1847,1511,1507,1008,1902,97,79,79,53,96,81,79,56,96,78,78,54
"167",1996,"080425","Cànoves i Samalús","41","Vallès Oriental","Metropolità","AT01",1464,1156,1116,619,1524,96,76,73,41,96,81,77,51,96,78,75,49
"168",1991,"080425","Cànoves i Samalús","41","Vallès Oriental","Metropolità","AT01",1017,923,829,624,1025,99,90,81,61,96,77,75,49,95,73,72,46
"169",2011,"080431","Canyelles","17","Garraf","Penedès","AT08",4024,3237,3456,2314,4200,96,77,82,55,95,73,80,56,97,82,84,62
"170",2001,"080431","Canyelles","17","Garraf","Penedès","AT08",2045,1679,1619,1068,2101,97,80,77,51,95,75,74,49,97,83,81,56
"171",1996,"080431","Canyelles","17","Garraf","Penedès","AT08",1236,1005,974,555,1268,97,79,77,44,96,74,71,43,97,85,80,51
"172",1991,"080431","Canyelles","17","Garraf","Penedès","AT08",697,530,553,345,716,97,74,77,48,95,68,68,39,98,82,79,48
"173",2011,"080446","Capellades","06","Anoia","Penedès","AT08",5218,4453,4527,3375,5321,98,84,85,63,98,86,88,66,97,82,84,62
"174",2001,"080446","Capellades","06","Anoia","Penedès","AT08",4598,3839,3679,2602,4776,96,80,77,54,98,87,85,63,97,83,81,56
"175",1996,"080446","Capellades","06","Anoia","Penedès","AT08",4761,4046,3862,2695,4933,97,82,78,55,98,89,84,55,97,85,80,51
"176",1991,"080446","Capellades","06","Anoia","Penedès","AT08",4730,3950,3751,2772,4935,96,80,76,56,98,85,79,52,98,82,79,48
"177",2011,"080459","Capolat","14","Berguedà","Comarques Centrals","AT06",85,85,85,74,85,100,100,100,87,99,93,93,73,99,91,91,72
"178",2001,"080459","Capolat","14","Berguedà","Comarques Centrals","AT06",65,64,60,51,65,100,98,92,78,99,94,90,70,99,91,89,68
"179",1996,"080459","Capolat","14","Berguedà","Comarques Centrals","AT06",68,68,63,29,68,100,100,93,43,100,95,86,60,99,93,88,60
"180",1991,"080459","Capolat","14","Berguedà","Comarques Centrals","AT06",59,58,55,34,59,100,98,93,58,100,93,84,57,99,90,83,54
"181",2011,"080462","Cardedeu","41","Vallès Oriental","Metropolità","AT01",16431,14049,14534,11149,16772,98,84,87,66,97,81,84,62,97,79,82,61
"182",2001,"080462","Cardedeu","41","Vallès Oriental","Metropolità","AT01",11939,10220,9912,7239,12395,96,82,80,58,96,81,79,56,96,78,78,54
"183",1996,"080462","Cardedeu","41","Vallès Oriental","Metropolità","AT01",10221,8712,8208,5616,10546,97,83,78,53,96,81,77,51,96,78,75,49
"184",1991,"080462","Cardedeu","41","Vallès Oriental","Metropolità","AT01",8607,7051,6977,4728,8837,97,80,79,54,96,77,75,49,95,73,72,46
"185",2011,"080478","Cardona","07","Bages","Comarques Centrals","AT06",4823,4277,4322,2890,4875,99,88,89,59,98,85,87,66,99,91,91,72
"186",2001,"080478","Cardona","07","Bages","Comarques Centrals","AT06",5111,4009,3930,2628,5255,97,76,75,50,98,87,85,64,99,91,89,68
"187",1996,"080478","Cardona","07","Bages","Comarques Centrals","AT06",5698,4606,3550,1902,5816,98,79,61,33,98,88,84,56,99,93,88,60
"188",1991,"080478","Cardona","07","Bages","Comarques Centrals","AT06",6188,5266,4685,3381,6340,98,83,74,53,98,85,80,51,99,90,83,54
"189",2011,"080484","Carme","06","Anoia","Penedès","AT08",812,691,720,482,837,97,83,86,58,98,86,88,66,97,82,84,62
"190",2001,"080484","Carme","06","Anoia","Penedès","AT08",649,581,574,495,657,99,88,87,75,98,87,85,63,97,83,81,56
