"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","competencia","percentatge_comp","origen","percentatge_ori"
"169",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Entendre",88,"Catalunya",60
"170",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Entendre",88,"Estat",24
"171",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Entendre",88,"Estranger",16
"172",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Escriure",45,"Catalunya",60
"173",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Escriure",45,"Estat",24
"174",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Escriure",45,"Estranger",16
"175",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Llegir",68,"Catalunya",60
"176",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Llegir",68,"Estat",24
"177",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Llegir",68,"Estranger",16
"178",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Parlar",60,"Catalunya",60
"179",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Parlar",60,"Estat",24
"180",2011,"080155","Badalona","13","Barcelonès","Metropolità","AT01","Parlar",60,"Estranger",16
"181",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Entendre",96,"Catalunya",77
"182",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Entendre",96,"Estat",17
"183",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Entendre",96,"Estranger",6
"184",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Escriure",71,"Catalunya",77
"185",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Escriure",71,"Estat",17
"186",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Escriure",71,"Estranger",6
"187",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Llegir",90,"Catalunya",77
"188",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Llegir",90,"Estat",17
"189",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Llegir",90,"Estranger",6
"190",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Parlar",89,"Catalunya",77
"191",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Parlar",89,"Estat",17
"192",2011,"080168","Bagà","14","Berguedà","Comarques Centrals","AT06","Parlar",89,"Estranger",6
"193",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Entendre",96,"Catalunya",76
"194",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Entendre",96,"Estat",15
"195",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Entendre",96,"Estranger",9
"196",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Escriure",63,"Catalunya",76
"197",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Escriure",63,"Estat",15
"198",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Escriure",63,"Estranger",9
"199",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Llegir",85,"Catalunya",76
"200",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Llegir",85,"Estat",15
"201",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Llegir",85,"Estranger",9
"202",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Parlar",82,"Catalunya",76
"203",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Parlar",82,"Estat",15
"204",2011,"080174","Balenyà","24","Osona","Comarques Centrals","AT06","Parlar",82,"Estranger",9
"205",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Entendre",94,"Catalunya",71
"206",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Entendre",94,"Estat",19
"207",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Entendre",94,"Estranger",10
"208",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Escriure",63,"Catalunya",71
"209",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Escriure",63,"Estat",19
"210",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Escriure",63,"Estranger",10
"211",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Llegir",84,"Catalunya",71
"212",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Llegir",84,"Estat",19
"213",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Llegir",84,"Estranger",10
"214",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Parlar",81,"Catalunya",71
"215",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Parlar",81,"Estat",19
"216",2011,"080180","Balsareny","07","Bages","Comarques Centrals","AT06","Parlar",81,"Estranger",10
"217",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Entendre",93,"Catalunya",59
"218",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Entendre",93,"Estat",20
"219",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Entendre",93,"Estranger",21
"220",2011,"080193","Barcelona","13","Barcelonès","Metropolità","AT01","Escriure",52,"Catalunya",59
