Municipi,Nom comarca,Àmbit territorial,Descàrrega
Pratdip,Baix Camp,Camp de Tarragona,#català947 Pratdip
Prats de Lluçanès,Osona,Comarques Centrals,#català947 Prats de Lluçanès
"Prats de Rei, els",Anoia,Comarques Centrals,"#català947 Prats de Rei, els"
Prats i Sansor,Cerdanya,Alt Pirineu i Aran,#català947 Prats i Sansor
Preixana,Urgell,Ponent,#català947 Preixana
Preixens,Noguera,Ponent,#català947 Preixens
Premià de Dalt,Maresme,Metropolità,#català947 Premià de Dalt
Premià de Mar,Maresme,Metropolità,#català947 Premià de Mar
"Preses, les",Garrotxa,Comarques Gironines,"#català947 Preses, les"
Prullans,Cerdanya,Alt Pirineu i Aran,#català947 Prullans
Puigcerdà,Cerdanya,Alt Pirineu i Aran,#català947 Puigcerdà
Puigdàlber,Alt Penedès,Penedès,#català947 Puigdàlber
Puiggròs,Garrigues,Ponent,#català947 Puiggròs
Puigpelat,Alt Camp,Camp de Tarragona,#català947 Puigpelat
Puig-reig,Berguedà,Comarques Centrals,#català947 Puig-reig
Puigverd d'Agramunt,Urgell,Ponent,#català947 Puigverd d'Agramunt
Puigverd de Lleida,Segrià,Ponent,#català947 Puigverd de Lleida
Pujalt,Anoia,Comarques Centrals,#català947 Pujalt
"Quar, la",Berguedà,Comarques Centrals,"#català947 Quar, la"
Quart,Gironès,Comarques Gironines,#català947 Quart
Queralbs,Ripollès,Comarques Gironines,#català947 Queralbs
Querol,Alt Camp,Camp de Tarragona,#català947 Querol
Rabós,Alt Empordà,Comarques Gironines,#català947 Rabós
Rajadell,Bages,Comarques Centrals,#català947 Rajadell
Rasquera,Ribera d'Ebre,Terres de l'Ebre,#català947 Rasquera
Regencós,Baix Empordà,Comarques Gironines,#català947 Regencós
Rellinars,Vallès Occidental,Metropolità,#català947 Rellinars
Renau,Tarragonès,Camp de Tarragona,#català947 Renau
Reus,Baix Camp,Camp de Tarragona,#català947 Reus
Rialp,Pallars Sobirà,Alt Pirineu i Aran,#català947 Rialp
"Riba, la",Alt Camp,Camp de Tarragona,"#català947 Riba, la"
Riba-roja d'Ebre,Ribera d'Ebre,Terres de l'Ebre,#català947 Riba-roja d'Ebre
Ribera d'Ondara,Segarra,Ponent,#català947 Ribera d'Ondara
Ribera d'Urgellet,Alt Urgell,Alt Pirineu i Aran,#català947 Ribera d'Urgellet
Ribes de Freser,Ripollès,Comarques Gironines,#català947 Ribes de Freser
Riells i Viabrea,Selva,Comarques Gironines,#català947 Riells i Viabrea
"Riera de Gaià, la",Tarragonès,Camp de Tarragona,"#català947 Riera de Gaià, la"
Riner,Solsonès,Comarques Centrals,#català947 Riner
Ripoll,Ripollès,Comarques Gironines,#català947 Ripoll
Ripollet,Vallès Occidental,Metropolità,#català947 Ripollet
Riu de Cerdanya,Cerdanya,Alt Pirineu i Aran,#català947 Riu de Cerdanya
Riudarenes,Selva,Comarques Gironines,#català947 Riudarenes
Riudaura,Garrotxa,Comarques Gironines,#català947 Riudaura
Riudecanyes,Baix Camp,Camp de Tarragona,#català947 Riudecanyes
Riudecols,Baix Camp,Camp de Tarragona,#català947 Riudecols
Riudellots de la Selva,Selva,Comarques Gironines,#català947 Riudellots de la Selva
Riudoms,Baix Camp,Camp de Tarragona,#català947 Riudoms
Riumors,Alt Empordà,Comarques Gironines,#català947 Riumors
"Roca del Vallès, la",Vallès Oriental,Metropolità,"#català947 Roca del Vallès, la"
Rocafort de Queralt,Conca de Barberà,Camp de Tarragona,#català947 Rocafort de Queralt
Roda de Berà,Tarragonès,Camp de Tarragona,#català947 Roda de Berà
Roda de Ter,Osona,Comarques Centrals,#català947 Roda de Ter
Rodonyà,Alt Camp,Camp de Tarragona,#català947 Rodonyà
Roquetes,Baix Ebre,Terres de l'Ebre,#català947 Roquetes
Roses,Alt Empordà,Comarques Gironines,#català947 Roses
Rosselló,Segrià,Ponent,#català947 Rosselló
"Rourell, el",Alt Camp,Camp de Tarragona,"#català947 Rourell, el"
Rubí,Vallès Occidental,Metropolità,#català947 Rubí
Rubió,Anoia,Penedès,#català947 Rubió
Rupià,Baix Empordà,Comarques Gironines,#català947 Rupià
Rupit i Pruit,Osona,Comarques Centrals,#català947 Rupit i Pruit
Sabadell,Vallès Occidental,Metropolità,#català947 Sabadell
Sagàs,Berguedà,Comarques Centrals,#català947 Sagàs
Salàs de Pallars,Pallars Jussà,Alt Pirineu i Aran,#català947 Salàs de Pallars
Saldes,Berguedà,Comarques Centrals,#català947 Saldes
Sales de Llierca,Garrotxa,Comarques Gironines,#català947 Sales de Llierca
Sallent,Bages,Comarques Centrals,#català947 Sallent
Salomó,Tarragonès,Camp de Tarragona,#català947 Salomó
Salou,Tarragonès,Camp de Tarragona,#català947 Salou
Salt,Gironès,Comarques Gironines,#català947 Salt
Sanaüja,Segarra,Ponent,#català947 Sanaüja
Sant Adrià de Besòs,Barcelonès,Metropolità,#català947 Sant Adrià de Besòs
Sant Agustí de Lluçanès,Osona,Comarques Centrals,#català947 Sant Agustí de Lluçanès
Sant Andreu de la Barca,Baix Llobregat,Metropolità,#català947 Sant Andreu de la Barca
Sant Andreu de Llavaneres,Maresme,Metropolità,#català947 Sant Andreu de Llavaneres
Sant Andreu Salou,Gironès,Comarques Gironines,#català947 Sant Andreu Salou
Sant Aniol de Finestres,Garrotxa,Comarques Gironines,#català947 Sant Aniol de Finestres
Sant Antoni de Vilamajor,Vallès Oriental,Metropolità,#català947 Sant Antoni de Vilamajor
Sant Bartomeu del Grau,Osona,Comarques Centrals,#català947 Sant Bartomeu del Grau
Sant Boi de Llobregat,Baix Llobregat,Metropolità,#català947 Sant Boi de Llobregat
Sant Boi de Lluçanès,Osona,Comarques Centrals,#català947 Sant Boi de Lluçanès
Sant Carles de la Ràpita,Montsià,Terres de l'Ebre,#català947 Sant Carles de la Ràpita
Sant Cebrià de Vallalta,Maresme,Metropolità,#català947 Sant Cebrià de Vallalta
Sant Celoni,Vallès Oriental,Metropolità,#català947 Sant Celoni
Sant Climent de Llobregat,Baix Llobregat,Metropolità,#català947 Sant Climent de Llobregat
Sant Climent Sescebes,Alt Empordà,Comarques Gironines,#català947 Sant Climent Sescebes
Sant Cugat del Vallès,Vallès Occidental,Metropolità,#català947 Sant Cugat del Vallès
Sant Cugat Sesgarrigues,Alt Penedès,Penedès,#català947 Sant Cugat Sesgarrigues
Sant Esteve de la Sarga,Pallars Jussà,Alt Pirineu i Aran,#català947 Sant Esteve de la Sarga
Sant Esteve de Palautordera,Vallès Oriental,Metropolità,#català947 Sant Esteve de Palautordera
Sant Esteve Sesrovires,Baix Llobregat,Metropolità,#català947 Sant Esteve Sesrovires
Sant Feliu de Buixalleu,Selva,Comarques Gironines,#català947 Sant Feliu de Buixalleu
Sant Feliu de Codines,Vallès Oriental,Metropolità,#català947 Sant Feliu de Codines
Sant Feliu de Guíxols,Baix Empordà,Comarques Gironines,#català947 Sant Feliu de Guíxols
Sant Feliu de Llobregat,Baix Llobregat,Metropolità,#català947 Sant Feliu de Llobregat
Sant Feliu de Pallerols,Garrotxa,Comarques Gironines,#català947 Sant Feliu de Pallerols
Sant Feliu Sasserra,Bages,Comarques Centrals,#català947 Sant Feliu Sasserra
Sant Ferriol,Garrotxa,Comarques Gironines,#català947 Sant Ferriol
